start	end	text
421000	425000	Divide it properly to remove h from the denominator
425000	429000	and we are left with 2x plus h.
429000	431000	Here comes the magic.
431000	434000	We want both these points to be as close as possible,
434000	437000	which means this h is so so small
437000	440000	that it is almost invisible to our naked eye.
441000	444000	Thus we say that h tends to zero.
444000	447000	And since h is not exactly zero,
447000	449000	we put this lim here,
449000	451000	which stands for limit,
451000	453000	which means what is the value of this thing
453000	456000	when h is very close to zero.
456000	458000	And to solve for it,
458000	460000	we put h as zero,
460000	465000	which gives us 2x as the slope of the curve y equals x square.
465000	468000	So we say that the derivative of y,
468000	471000	which is represented using dy over dx,
471000	476000	which indicates the change in y with respect to x at a given point,
476000	480000	is 2x when y equals x square.
480000	482000	Now at x equals 1,
482000	487000	what will be the derivative of y with respect to x?
487000	488000	Or in other words,
488000	492000	what will be the slope of this curve at x equals 1?
492000	497000	Just substitute x as 1 here and we are done.
497000	501000	The slope of this curve at x equals 1 is 2, right?
501000	506000	We solved it previously and got our answer as 2.1, remember?
506000	508000	Which was so close to 2,
508000	510000	but not exactly 2,
510000	513000	because the value of h was 0.1,
513000	517000	which although small but was not very close to zero.
517000	519000	Now to generalize this,
519000	521000	instead of using x square,
521000	525000	assume we denote y as a function of x or f of x.
525000	527000	Now at this point x,
527000	530000	we have y as f of x,
530000	533000	at this point which is x plus h,
533000	535000	we have y or the output
535000	540000	when the input is x plus h as f of x plus h.
540000	542000	So the slope of this line will be
542000	549000	f of x plus h minus f of x over x plus h minus x, right?
549000	551000	This will get cancelled out
551000	556000	and we are left with f of x plus h minus f of x over h.
556000	559000	Finally, we put a limit here which shows
559000	562000	h tends to zero and that's it.
562000	566000	This is the derivative of the function y or f of x
566000	568000	with respect to x.
568000	571000	Now using the method I have just shown you,
571000	574000	mathematicians have already calculated derivatives
574000	577000	of some famous functions like these.
581000	584000	So our life has now become super easy.
584000	586000	So using this formula,
586000	588000	or deriving on your own,
588000	590000	now can tell me in the comments
590000	597000	what will be the derivative of the curve y equals x cube at x equals 2.
597000	600000	This simple idea of zooming in on a curve
600000	602000	and finding its slope
602000	604000	has transformed how we understand
604000	607000	and solve problems in the world around us.
607000	610000	Suddenly, derivatives became a universal language
610000	612000	for describing change
612000	614000	and it is used in our day-to-day life,
614000	616000	starting from measuring speed
616000	618000	to predicting stock prices.
618000	621000	Tracking heart rate changes in medicine
621000	624000	and analyzing an athlete's speed during a race.
624000	626000	They help in weather forecasting
626000	628000	by predicting temperature changes,
628000	631000	studying population growth in biology,
631000	633000	answering questions like
633000	635000	why planets orbit in ellipses
635000	639000	and calculating marginal costs in economics.
639000	642000	Derivatives also control robotic movements,
642000	644000	optimize traffic flow,
644000	646000	enhance sound engineering
646000	649000	and even monitor the spread of diseases.
649000	652000	Now if this video gets 3,000 likes,
652000	655000	then I will bring another banger video on calculus,
655000	658000	which will be much more interesting than this one.
658000	660000	So good!
